index,industry,period,return
S&P 500,Market,1week,0.0036417910971200396
S&P 500,Market,1month,0.05390207497415411
S&P 500,Market,3month,0.12432803374770351
S&P 500,Market,6month,0.21390164605528716
S&P 500,Market,1year,0.38870250982704446
S&P 500,Market,3year,0.8716856879220685
S&P 500,Market,5year,1.2826694471183324
S&P 500,Market,annualized_return,0.18260085243960558
S&P 500,Market,annualized_volatility,0.1285789388474107
Technology ETF,Technology,1week,-0.0822057795008202
Technology ETF,Technology,1month,-0.03256402671966663
Technology ETF,Technology,3month,-0.009989771980523865
Technology ETF,Technology,6month,0.035789199850512654
Technology ETF,Technology,1year,0.20874394787140904
Technology ETF,Technology,3year,-0.036232891848348214
Technology ETF,Technology,5year,0.22890043691190187
Technology ETF,Technology,annualized_return,0.07973390362522459
Technology ETF,Technology,annualized_volatility,0.28232453396607554
Healthcare ETF,Healthcare,1week,-0.011018736461936851
Healthcare ETF,Healthcare,1month,-0.036218906977585674
Healthcare ETF,Healthcare,3month,-0.07174339504793847
Healthcare ETF,Healthcare,6month,0.1163758989523338
Healthcare ETF,Healthcare,1year,0.050544779613972635
Healthcare ETF,Healthcare,3year,-0.17079878349702593
Healthcare ETF,Healthcare,5year,-0.01873645041803751
Healthcare ETF,Healthcare,annualized_return,0.013776550352631962
Healthcare ETF,Healthcare,annualized_volatility,0.18799005481780517
Financial ETF,Financial,1week,-0.023825976908360413
Financial ETF,Financial,1month,-0.049095682205645086
Financial ETF,Financial,3month,0.11995926042670635
Financial ETF,Financial,6month,0.04655530306076794
Financial ETF,Financial,1year,0.18957274079990394
Financial ETF,Financial,3year,-0.07832990378559113
Financial ETF,Financial,5year,-0.07366425480015437
Financial ETF,Financial,annualized_return,0.011665712881792849
Financial ETF,Financial,annualized_volatility,0.24392380188196383
Energy ETF,Energy,1week,-0.02855769238175121
Energy ETF,Energy,1month,-0.03447573213357391
Energy ETF,Energy,3month,0.040850146025864786
Energy ETF,Energy,6month,-0.11955194236374511
Energy ETF,Energy,1year,0.20331567779353032
Energy ETF,Energy,3year,-0.6168885452784589
Energy ETF,Energy,5year,-0.5120369622648713
Energy ETF,Energy,annualized_return,-0.10733295052823108
Energy ETF,Energy,annualized_volatility,0.36032661669756244
Consumer Discretionary ETF,Consumer Discretionary,1week,-0.031168803064279493
Consumer Discretionary ETF,Consumer Discretionary,1month,-0.018535085906018045
