,Close,Open,High,Low,Adj Close,Volume
2020-03-26,100.18074347897816,99.67983976158327,100.37015652195451,99.67983976158327,100.18074347897816,5881051
2020-03-27,59.46815849447526,100.15899625474827,100.82585571770275,58.93558983578125,59.46815849447526,8925427
2020-03-30,31.678475183211518,59.354214148605166,59.5717251562593,31.403459667433037,31.678475183211518,6426412
2020-03-31,17.169997445442313,31.403254469170985,31.654114854441016,17.07799000280375,17.169997445442313,1102775
2020-04-01,9.349689934031549,17.029413968229697,17.084017356938407,9.327031741864875,9.349689934031549,2152378
2020-04-02,4.965865962060076,9.443329838394881,9.49014756919411,4.9548951780770025,4.965865962060076,4028177
2020-04-03,2.9926421349599575,4.95794599295856,5.001802617408178,2.9765240597997775,2.9926421349599575,3913788
2020-04-06,1.703671592382535,2.9735017591227986,2.983305386624891,1.6898204398056564,1.703671592382535,1413640
2020-04-07,0.9266786647063846,1.7235459132112252,1.7375178724274285,0.920292823934596,0.9266786647063846,5599875
2020-04-08,0.5291408708744673,0.9274123081747605,0.9279177897217636,0.5241787531230023,0.5291408708744673,1120794
2020-04-09,0.3070254872739692,0.526421030221996,0.5269931100159989,0.30398226938560235,0.3070254872739692,2639496
2020-04-10,0.1711145951358313,0.31033249929145856,0.31111931906855866,0.16966681335132375,0.1711145951358313,5743701
2020-04-13,0.09947833202055827,0.171761800058344,0.17271944088855173,0.0994402217338405,0.09947833202055827,1710833
2020-04-14,0.05756704413805742,0.099246827729627,0.09933187530753748,0.05732864776835946,0.05756704413805742,5053104
2020-04-15,0.030566968472218754,0.0576686645305413,0.05805282691569105,0.030464746544066026,0.030566968472218754,1275700
2020-04-16,0.01746295120812629,0.030344814026717393,0.030511301592404942,0.017337951529230438,0.01746295120812629,7558158
2020-04-17,0.009729323871331753,0.017479816025035178,0.01748324028949996,0.009673285710357244,0.009729323871331753,7456318
2020-04-20,0.005385651641447735,0.009726034335243966,0.009739580302701062,0.005357304609768633,0.005385651641447735,2012164
2020-04-21,0.0029019934156900686,0.005391905790149069,0.005437462817254365,0.002875846089637039,0.0029019934156900686,2851932
2020-04-22,0.0015577419789887612,0.002900911588549416,0.002929618556447346,0.0015531251311423251,0.0015577419789887612,2905670
2020-04-23,0.0008728299994106,0.0015639238125677427,0.0015775544513625082,0.0008673553472751633,0.0008728299994106,2038894
