,Close,Open,High,Low,Adj Close,Volume
2020-03-26,99.41708574596198,98.92000031723218,100.31290968466836,98.92000031723218,99.41708574596198,4678732
2020-03-27,60.51328206805228,99.38305954966347,99.9381683590901,60.14010565907209,60.51328206805228,7661041
2020-03-30,34.47523730335856,60.425832855822385,60.8555978243763,34.44596001420561,34.47523730335856,1896849
2020-03-31,20.918677161267205,34.365144108901156,34.462620909244514,20.817090744017936,20.918677161267205,1973402
2020-04-01,12.66106626143981,20.869330919487766,20.9682860935088,12.616828973562765,12.66106626143981,2717511
2020-04-02,7.2606191195178305,12.521097067086286,12.528618264535398,7.19486986002768,7.2606191195178305,9774337
2020-04-03,4.242394800648705,7.299181877477942,7.310981260791833,4.223700450512554,4.242394800648705,8764942
2020-04-06,2.6723124125932056,4.218852432940163,4.219544177945706,2.6692641147510794,2.6723124125932056,6521161
2020-04-07,1.5580383174457546,2.6724108310289534,2.683224061965164,1.5504587997750388,1.5580383174457546,3869555
2020-04-08,0.951616488474866,1.5625572317581478,1.5641453694499956,0.9509508535548437,0.951616488474866,9979144
2020-04-09,0.5671356684321943,0.953100874508045,0.9620736577419318,0.5631441823247253,0.5671356684321943,1855246
2020-04-10,0.3453193753034561,0.5669364010977302,0.5709140250775961,0.3452992233690318,0.3453193753034561,5506517
2020-04-13,0.21492562968052747,0.3454116568287418,0.3454211557875646,0.21446490910515745,0.21492562968052747,8270060
2020-04-14,0.13184693745801843,0.21553158344922213,0.21754394529803942,0.13080045078656527,0.13184693745801843,2133473
2020-04-15,0.07483758054504251,0.13174617076294542,0.1327754216286436,0.07472160462373062,0.07483758054504251,3023021
2020-04-16,0.04521705002212744,0.07417250816078869,0.07449915220114399,0.044841733144902314,0.04521705002212744,9194030
2020-04-17,0.02775350294542241,0.04483147725941784,0.04491004871129924,0.027706084002256135,0.02775350294542241,9032257
2020-04-20,0.016466532103536657,0.027611749870999167,0.02783443445825479,0.016335377413441723,0.016466532103536657,1035345
2020-04-21,0.009683408165920403,0.01650360729818074,0.016568089870904877,0.009651858858046812,0.009683408165920403,3680650
2020-04-22,0.005603780686109077,0.009671443107644295,0.00972841001202196,0.0055766756320397085,0.005603780686109077,1785848
2020-04-23,0.0034347722882472403,0.005620157423217211,0.00564506860576665,0.0034301155671469224,0.0034347722882472403,2209314
2020-04-24,0.0020601401092651896,0.0034143169805297977,0.003446584924771427,0.0020524738963342403,0.0020601401092651896,1681952
2020-04-27,0.0012550414499935417,0.0020527420301185277,0.002070753851849377,0.001245894980044107,0.0012550414499935417,2399347
2020-04-28,0.0007475211852295498,0.0012453146044439528,0.001245531005904592,0.0007405165297267965,0.0007475211852295498,3040787
2020-04-29,0.0004454199844983527,0.0007486041342101511,0.0007536040165724526,0.0004438258907956976,0.0004454199844983527,9805064
