,Open,High,Low,Close,Adj Close,Volume
2020-03-26,2419.502334340778,2427.875545920689,2419.502334340778,2422.09099891438,2422.09099891438,3729170760
2020-03-27,1476.5432901985555,1486.9127421275302,1471.1216065426838,1481.118564522078,1481.118564522078,3131072582
2020-03-30,874.69917072514,880.8202532490984,874.69917072514,878.8025638539251,878.8025638539251,3062044161
2020-03-31,519.0637871526179,520.3417714407394,517.2543373505529,520.2945404088183,520.2945404088183,3641851652
2020-04-01,316.85705818059853,319.57662569357376,315.60830760785126,318.2254320141051,318.2254320141051,2160690159
2020-04-02,184.73539834421015,187.02911704530445,184.68170838832515,185.39591197784986,185.39591197784986,3650417712
2020-04-03,111.34786902237622,111.66597478019314,110.98248247539165,111.63039865501788,111.63039865501788,4801263305
2020-04-06,68.44734094503494,69.1894402704355,68.39953316607222,68.78904011241654,68.78904011241654,2404276149
2020-04-07,40.314942109935465,40.747773563850416,40.314942109935465,40.49713543474126,40.49713543474126,2093330115
2020-04-08,24.51563994098994,24.74954220606451,24.44825721585391,24.593218374144048,24.593218374144048,4234155658
2020-04-09,14.78836475077056,14.855764346338924,14.711269925436156,14.852647979153476,14.852647979153476,3770906543
2020-04-10,8.903676599902019,8.962052614155397,8.89477054827878,8.947638428130048,8.947638428130048,4022608612
2020-04-13,5.437122672458014,5.442537058370214,5.425196324394345,5.43735907791652,5.43735907791652,4580231735
2020-04-14,3.250858631752312,3.2880377075190457,3.2327914713247146,3.2563242899576186,3.2563242899576186,2531945797
2020-04-15,1.870369714709558,1.890030419324772,1.870369714709558,1.878711013814268,1.878711013814268,4981182126
2020-04-16,1.1448390642768551,1.1525540109244374,1.1442570477926859,1.1450815120126683,1.1450815120126683,4482028088
2020-04-17,0.6831928073876592,0.6873894158454333,0.6828119321111898,0.6854914744578805,0.6854914744578805,3998850272
2020-04-20,0.41525288084782647,0.420167052904768,0.4143309057656982,0.41679891550350845,0.41679891550350845,2933350901
2020-04-21,0.2493926434073016,0.25184030156470877,0.24804307640029716,0.24967456523797907,0.24967456523797907,3887836565
2020-04-22,0.1449534242973631,0.14547039942090828,0.1448756110970611,0.14523386704592833,0.14523386704592833,2060281803
2020-04-23,0.08763140088678831,0.08838282255795274,0.08756292454061007,0.08764005908554492,0.08764005908554492,2279722939
2020-04-24,0.05239495229889913,0.05267870214329169,0.05239488932719474,0.052550503175680864,0.052550503175680864,3399184373
2020-04-27,0.031791913566278605,0.03198774658654263,0.031791913566278605,0.03180713014530139,0.03180713014530139,2041284063
2020-04-28,0.019329819997162014,0.019435435852813206,0.019265569696470572,0.019344772946810338,0.019344772946810338,3745762575
2020-04-29,0.011496357402120077,0.011568889614158001,0.011496357402120077,0.011550768253796069,0.011550768253796069,4220368364
2020-04-30,0.006840581938116075,0.006879063401585671,0.006808246188394015,0.00684577453458658,0.00684577453458658,2982203296
2020-05-01,0.004118239079146751,0.004168904549899276,0.004118239079146751,0.004131422822959597,0.004131422822959597,2103736850
2020-05-04,0.002472426851911591,0.0025037272808569595,0.002472426851911591,0.0024832522574171345,0.0024832522574171345,3534703988
2020-05-05,0.0014665401751075729,0.0014720609586784963,0.001462174518365011,0.0014673431881516079,0.0014673431881516079,2410987233
2020-05-06,0.0008853699856827975,0.0008933587676932816,0.000879689224155199,0.0008884263520863935,0.0008884263520863935,2615241780
2020-05-07,0.0005238522370158421,0.0005307151841181314,0.0005238522370158421,0.0005256854560484628,0.0005256854560484628,2659628971
2020-05-08,0.00032373922013420164,0.0003269046708052079,0.0003220704508923504,0.00032409744110152767,0.00032409744110152767,3938626052
2020-05-11,0.0001930260208637224,0.00019361402033949156,0.00019119878825352065,0.00019308838264529068,0.00019308838264529068,3538173366
2020-05-12,0.00011760333416860775,0.0001177426564033717,0.00011760333416860775,0.00011772086048356204,0.00011772086048356204,4441062382
2020-05-13,6.92533738989482e-05,7.012981509295702e-05,6.884086044965789e-05,6.943845216157795e-05,6.943845216157795e-05,4211504609
2020-05-14,4.185126667986058e-05,4.204210024490886e-05,4.1697996822355044e-05,4.195094469768017e-05,4.195094469768017e-05,3896499937
2020-05-15,2.4668813722108512e-05,2.4712989234765117e-05,2.4651784700338302e-05,2.4673291241936847e-05,2.4673291241936847e-05,4438035621
2020-05-18,1.4808466683982387e-05,1.491829946792893e-05,1.4719760913362134e-05,1.4851076971781705e-05,1.4851076971781705e-05,4416112809
2020-05-19,8.936015630043635e-06,8.975307427833405e-06,8.936015630043635e-06,8.939330996387439e-06,8.939330996387439e-06,2118217423
2020-05-20,5.301884638530017e-06,5.349822874047705e-06,5.291319518057236e-06,5.307118195662661e-06,5.307118195662661e-06,2995410902
2020-05-21,3.203572554022271e-06,3.2301620877489874e-06,3.203572554022271e-06,3.213503865553252e-06,3.213503865553252e-06,2355489842
2020-05-22,1.919154414426796e-06,1.925236742297995e-06,1.9130510755013537e-06,1.924210300245365e-06,1.924210300245365e-06,3553513741
2020-05-25,1.1300437148595071e-06,1.136374332820083e-06,1.1300437148595071e-06,1.1322405087004138e-06,1.1322405087004138e-06,2951190773
2020-05-26,6.833352870447935e-07,6.869693597899049e-07,6.804418495954021e-07,6.841473247424773e-07,6.841473247424773e-07,4966247391
2020-05-27,4.111941914480224e-07,4.144636531362876e-07,4.109080902347527e-07,4.1301111391728224e-07,4.1301111391728224e-07,2506366532
2020-05-28,2.451147479240462e-07,2.4630876107881366e-07,2.441840956945144e-07,2.455464878957784e-07,2.455464878957784e-07,2849984714
2020-05-29,1.4255957169732398e-07,1.4354858283015e-07,1.423498314836326e-07,1.4294150118750586e-07,1.4294150118750586e-07,2414485180
2020-06-01,8.706105898699887e-08,8.78085945601939e-08,8.706105898699887e-08,8.728185428825848e-08,8.728185428825848e-08,4154083301
2020-06-02,5.1291004302675425e-08,5.1620613119002625e-08,5.088546502250837e-08,5.132524766848729e-08,5.132524766848729e-08,4263834655
2020-06-03,3.064876674440716e-08,3.0749284373658345e-08,3.05992318478063e-08,3.0676225062927486e-08,3.0676225062927486e-08,2785331388
2020-06-04,1.863609575566092e-08,1.8707736945424367e-08,1.855987533768032e-08,1.8656293602854884e-08,1.8656293602854884e-08,4571026563
2020-06-05,1.1196101436375167e-08,1.1319869848707202e-08,1.110395150153774e-08,1.1211459768622409e-08,1.1211459768622409e-08,2521140768
2020-06-08,6.6137386474186596e-09,6.631871212109252e-09,6.564282171507547e-09,6.626986714094885e-09,6.626986714094885e-09,2694310959
2020-06-09,3.8998450961155255e-09,3.9285984737869824e-09,3.8998450961155255e-09,3.916779987495614e-09,3.916779987495614e-09,2920554419
2020-06-10,2.3098106305826164e-09,2.3219176462141137e-09,2.3021570589215918e-09,2.3174914517600394e-09,2.3174914517600394e-09,4083589952
2020-06-11,1.4055010687499406e-09,1.4164595816481639e-09,1.3968431272802268e-09,1.4086188328123688e-09,1.4086188328123688e-09,4229305031
2020-06-12,8.286011668390917e-10,8.31373606124066e-10,8.226485715769511e-10,8.300870916602675e-10,8.300870916602675e-10,3577783467
2020-06-15,5.025559982384888e-10,5.031618385371769e-10,4.990081379640249e-10,5.02727479902633e-10,5.02727479902633e-10,2383443711
2020-06-16,2.951138137424509e-10,2.982191403434615e-10,2.9427859248409293e-10,2.9623392011939743e-10,2.9623392011939743e-10,2488099150
2020-06-17,1.769602845841665e-10,1.7834168242640592e-10,1.7628775704237086e-10,1.7770262285035e-10,1.7770262285035e-10,4220721014
2020-06-18,1.0601701354188562e-10,1.0693151715671163e-10,1.0601701354188562e-10,1.0648279932596281e-10,1.0648279932596281e-10,4499468411
2020-06-19,6.295873038817581e-11,6.362423262823343e-11,6.264205645757162e-11,6.322044606816434e-11,6.322044606816434e-11,4111426690
2020-06-22,3.725644845949222e-11,3.7659534539894826e-11,3.725644845949222e-11,3.74368644915998e-11,3.74368644915998e-11,2534687217
2020-06-23,2.2619027712336962e-11,2.276160044741363e-11,2.2458093733508157e-11,2.2666833463485923e-11,2.2666833463485923e-11,3470057975
