,Close,Open,High,Low,Adj Close,Volume
2020-04-15,100.65525732056769,100.15198103396484,101.20319753387687,100.15198103396484,100.65525732056769,1078259
2020-04-16,101.61454604263989,101.36203185570201,102.51546674548499,100.99051524932398,101.61454604263989,5326934
2020-04-17,101.51373560175689,101.32367672830212,102.30880073682174,100.3303644709602,101.51373560175689,4390179
2020-04-20,101.46840543525686,101.43704190933433,102.17814145034366,100.83412298856948,101.46840543525686,2967272
2020-04-21,101.302460138118,101.73396337694994,101.93727995559941,101.12397294954121,101.302460138118,2842722
2020-04-22,100.25455704136435,101.25952763618221,101.54020129802876,99.79751776616874,100.25455704136435,8520881
2020-04-23,99.80688170443267,99.72163223648191,100.07373780705443,98.83884517750091,99.80688170443267,3126866
2020-04-24,101.0360152833712,100.37326096505554,101.86744084093975,100.36775016362019,101.0360152833712,2807048
2020-04-27,102.24039873224287,101.07576543226497,102.42668565482629,100.93243344344732,102.24039873224287,5730049
2020-04-28,101.40908825528791,102.59921121626297,103.42961856321323,100.41546992154923,101.40908825528791,4038330
2020-04-29,100.53052904418132,101.47400331256941,102.3049290154987,99.65357410425247,100.53052904418132,3834756
2020-04-30,100.03761448256591,100.3727109551232,101.34600157834558,99.94642309829639,100.03761448256591,8367097
2020-05-01,100.10468529048015,100.61007227944079,101.28114174863948,99.172353858357,100.10468529048015,8497816
2020-05-04,98.88908773327992,100.05224820973378,100.55772439178452,98.33575662555859,98.88908773327992,4785166
2020-05-05,99.01580096227434,99.04867292595652,99.65895074623809,98.21916103756983,99.01580096227434,9144569
2020-05-06,98.34066976079853,98.65484702332508,99.14669736812633,97.59144666720039,98.34066976079853,1918780
2020-05-07,97.47731768234992,97.9563553052883,98.87852188253012,97.46223695525148,97.47731768234992,7407358
2020-05-08,96.81057088308259,97.37888135004212,98.19577537566616,96.15735198755722,96.81057088308259,9343730
2020-05-11,96.14838526117975,96.51567567224551,96.87982018132915,95.22325330581288,96.14838526117975,3925826
2020-05-12,97.15569769807148,96.10916888274095,97.48764506787448,95.50281135972158,97.15569769807148,7851648
2020-05-13,97.61914565199649,97.39373221971348,98.19253366292502,96.75645989758644,97.61914565199649,2941343
2020-05-14,95.41219959204402,98.18031132622143,99.09233598682084,95.11687069956875,95.41219959204402,4785938
2020-05-15,94.73135997498136,95.54316565988977,96.18344362922424,93.87937387478328,94.73135997498136,4803828
2020-05-18,95.65073676743258,94.2729962259619,95.86563344796282,93.91109095466817,95.65073676743258,6065926
2020-05-19,97.24825907417049,96.575386080504,97.90239601995515,96.53671220680886,97.24825907417049,6811093
2020-05-20,96.44049816114746,97.58423634326402,98.02179999131258,96.26260677779894,96.44049816114746,1877383
2020-05-21,96.43291960222432,96.64737443497474,97.49346240102675,96.04199335226821,96.43291960222432,8569603
2020-05-22,96.84916365680488,96.86155027313946,97.51393365251286,96.00530674844806,96.84916365680488,9611419
2020-05-25,98.03382283637708,96.61392548232683,98.52997578970336,96.23667893719308,98.03382283637708,9702935
2020-05-26,96.61837762888274,98.0156633141199,98.15816064169212,96.52901760898462,96.61837762888274,3594382
2020-05-27,95.86445396790295,96.2604836857083,96.64122086399301,95.07053897197292,95.86445396790295,8297503
2020-05-28,94.56534299883573,95.50075613567105,95.69740240623895,94.04707481389154,94.56534299883573,3735432
2020-05-29,95.12026357542986,95.52545828415957,96.02561310089446,95.0681305342417,95.12026357542986,3983308
2020-06-01,95.26124950089911,94.30021840897537,95.28639633976016,93.73125438709091,95.26124950089911,2996609
2020-06-02,96.53205204922239,95.63301714832747,96.8004302571067,94.70893195074957,96.53205204922239,5947503
2020-06-03,97.24917210870835,96.21574697239946,97.32247958880065,96.01568239901337,97.24917210870835,6463530
