,Close,Open,High,Low,Adj Close,Volume
2020-03-26,100.73226316950088,100.22860185365337,101.2854999026133,99.85765477385321,100.73226316950088,5726730
2020-03-27,74.2890532805316,101.25684071934333,102.18382372949364,73.68850986672642,74.2890532805316,7473727
2020-03-30,53.29716719905983,74.704657146236,75.342958916948,52.84128871997153,53.29716719905983,5548939
2020-03-31,38.42788789593289,53.25502943492395,53.51786638741049,38.37679921717293,38.42788789593289,3082964
2020-04-01,27.66575131889768,38.170465135615835,38.49744265522641,27.44808970605372,27.66575131889768,2792516
2020-04-02,19.535585349374664,27.540106718896304,27.72854439367031,19.34828677389829,19.535585349374664,8864754
2020-04-03,13.60160319890019,19.455358269709066,19.609204739153164,13.49088117371806,13.60160319890019,1005286
2020-04-06,9.63458225718837,13.734989514977697,13.75927479180333,9.582500032588971,9.63458225718837,9673844
2020-04-07,6.992823011822336,9.6056983256304,9.678904350152804,6.990813559305667,6.992823011822336,7274228
2020-04-08,5.015294504805449,7.036517541452339,7.096469844422839,5.005145022959721,5.015294504805449,5785135
2020-04-09,3.649020180660062,5.024709827541071,5.054843716695652,3.644365510807448,3.649020180660062,4371573
2020-04-10,2.6034734903492875,3.6392990177913465,3.6522384315509173,2.5841544337381848,2.6034734903492875,5808015
2020-04-13,1.8942910081966553,2.5952917089024723,2.601201982048067,1.8903053705725756,1.8942910081966553,3062700
2020-04-14,1.3365889342763937,1.8915225455776457,1.9063422330432958,1.3326049462427694,1.3365889342763937,9223872
2020-04-15,0.9502665228064697,1.3352160907740613,1.338952607332447,0.941220324515874,0.9502665228064697,6365135
2020-04-16,0.6831557429420954,0.9490525419068077,0.9570311367849085,0.680526790051298,0.6831557429420954,2690738
2020-04-17,0.4945560715037233,0.6774185926125573,0.6812441363389503,0.4920524218686081,0.4945560715037233,3299221
2020-04-20,0.35779298395105424,0.49415674554225597,0.4981370166393209,0.35569728686503155,0.35779298395105424,5671195
2020-04-21,0.262164190726794,0.35782593068432267,0.36066541494638765,0.2603996030339274,0.262164190726794,7852063
2020-04-22,0.18770046265320312,0.26451257909216513,0.267149215661131,0.18701634441447695,0.18770046265320312,9721792
2020-04-23,0.1354939173503551,0.18731072925281603,0.18855430497897374,0.13474007952896583,0.1354939173503551,2163737
2020-04-24,0.0987749015113237,0.13550292266020272,0.1367788288979032,0.09840999046593506,0.0987749015113237,9520934
2020-04-27,0.07084798487305916,0.09829026134863417,0.09855814568037126,0.07069346370054826,0.07084798487305916,1041069
2020-04-28,0.05141555849365782,0.07058296894246269,0.07109644204137439,0.05115663401550783,0.05141555849365782,9786494
2020-04-29,0.036743247280831705,0.05118527083777532,0.05168806221393092,0.036397606985939066,0.036743247280831705,8819820
2020-04-30,0.02672042966175031,0.03669337871804953,0.03671475539256598,0.026599345791212734,0.02672042966175031,2402230
2020-05-01,0.01933488446148831,0.02675974104230649,0.02677001445046345,0.019301792622108023,0.01933488446148831,5287345
2020-05-04,0.013937677362498246,0.01932956200219965,0.019430941639768624,0.013916444149070258,0.013937677362498246,5771409
2020-05-05,0.009918297243290792,0.014027123661145868,0.014056764191277308,0.009887539137621254,0.009918297243290792,2076792
2020-05-06,0.0072551017191042145,0.0098449381903547,0.009876590367649546,0.007220950485153089,0.0072551017191042145,1226537
2020-05-07,0.005190050514183119,0.007239462160422009,0.00725231360686884,0.005139216638639391,0.005190050514183119,8417089
2020-05-08,0.0038344204041246915,0.005205575578335717,0.005232372308918138,0.0038025388583007337,0.0038344204041246915,3261041
2020-05-11,0.0027830072676414733,0.0038369328332119174,0.0038635892487018045,0.0027713464944325423,0.0027830072676414733,4978242
2020-05-12,0.0020230324048550043,0.002801237388880219,0.002812882604752698,0.002010752207175919,0.0020230324048550043,9841630
2020-05-13,0.0014448806025896886,0.0020275331331721298,0.002035983165595211,0.0014311582731662646,0.0014448806025896886,8163951
2020-05-14,0.0010537009998055774,0.0014523478875064656,0.0014599203757623559,0.0010507761253605846,0.0010537009998055774,7821166
